# R-blockprops4.tsv — trial_chambers (13,35) 마진 청크 배치가 요구하는
# 회전 산물 상태 3종. 값 = tools/golden/StatePropsProbe.java 실서버
# 실측 (기존 TSV stairs/slab 8행 교차검증 0 diff). 스키마 = tsv2/3.
minecraft:stone_button[face=wall,facing=west,powered=false]	f	f	f	f	0	0	none	probe	f
minecraft:waxed_oxidized_cut_copper_stairs[facing=east,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	1	D:f,U:e,N:b,S:f,W:b,E:f	probe	f
minecraft:waxed_oxidized_cut_copper_stairs[facing=west,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	1	D:f,U:d,N:7,S:f,W:f,E:b	probe	f
minecraft:stone_button[face=wall,facing=east,powered=false]	f	f	f	f	0	0	none	probe	f
minecraft:chest[facing=east,type=single,waterlogged=true]	t	t	f	f	0	1	none	probe	f
minecraft:chest[facing=south,type=single,waterlogged=true]	t	t	f	f	0	1	none	probe	f
minecraft:dark_oak_door[facing=east,half=upper,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_door[facing=south,half=lower,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_fence[east=false,north=false,south=false,waterlogged=false,west=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_log[axis=x]	t	t	t	f	0	15	none	probe	t
minecraft:dark_oak_log[axis=y]	t	t	t	f	0	15	none	probe	t
minecraft:dark_oak_planks	t	t	t	f	0	15	none	probe	t
minecraft:dark_oak_slab[type=bottom,waterlogged=false]	t	t	f	f	0	0	D:f,U:0,N:3,S:3,W:3,E:3	probe	f
minecraft:dark_oak_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:f,U:8,N:3,S:b,W:3,E:b	probe	f
minecraft:dark_oak_stairs[facing=east,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:8,U:f,N:c,S:e,W:c,E:e	probe	f
minecraft:dark_oak_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:f,U:2,N:b,S:3,W:3,E:7	probe	f
minecraft:dark_oak_stairs[facing=north,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:2,U:f,N:e,S:c,W:c,E:d	probe	f
minecraft:dark_oak_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:f,U:4,N:3,S:7,W:b,E:3	probe	f
minecraft:dark_oak_stairs[facing=south,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:4,U:f,N:c,S:d,W:e,E:c	probe	f
minecraft:dark_oak_stairs[facing=west,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:f,U:1,N:7,S:3,W:7,E:3	probe	f
minecraft:dark_oak_stairs[facing=west,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	D:1,U:f,N:d,S:c,W:d,E:c	probe	f
minecraft:dark_oak_trapdoor[facing=east,half=bottom,open=false,powered=false,waterlogged=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_trapdoor[facing=north,half=bottom,open=false,powered=false,waterlogged=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_trapdoor[facing=south,half=bottom,open=false,powered=false,waterlogged=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_trapdoor[facing=west,half=bottom,open=false,powered=false,waterlogged=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_door[facing=north,half=lower,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_door[facing=west,half=upper,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	probe	f
minecraft:dark_oak_fence[east=false,north=false,south=false,waterlogged=true,west=false]	t	t	f	f	0	1	none	probe	f
minecraft:dark_oak_slab[type=bottom,waterlogged=true]	t	t	f	f	0	1	D:f,U:0,N:3,S:3,W:3,E:3	probe	f
minecraft:dark_oak_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	1	D:f,U:8,N:3,S:b,W:3,E:b	probe	f
minecraft:dark_oak_stairs[facing=east,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	1	D:8,U:f,N:c,S:e,W:c,E:e	probe	f
minecraft:dark_oak_stairs[facing=east,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	D:a,U:f,N:e,S:e,W:c,E:f	probe	f
minecraft:dark_oak_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	1	D:f,U:2,N:b,S:3,W:3,E:7	probe	f
minecraft:dark_oak_stairs[facing=north,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	1	D:2,U:f,N:e,S:c,W:c,E:d	probe	f
minecraft:dark_oak_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	1	D:f,U:4,N:3,S:7,W:b,E:3	probe	f
